study,participant.id,start.date,end.date,IMC,excluded,advice,advice.algorithm,timer.minutes,decision,decision.lab,score.teacher.selected,follow.advice,decision.comb,man.check.advice,man.check.evaluation,score.teacher.selected.guess,man.check.score.exact,man.check.score,female,age,high.education,income,teacher.order,familiarity.algorithms.gov,congruence.lab
study 1,study1_1,12-02-20 11:26,12-02-20 11:30,0,1,algorithm,1,3.4,2,2.Jansen,8,0,3. Other selection,0,0,0,0,0,1,29,1,3,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_2,12-02-20 11:26,12-02-20 11:39,1,0,human,0,12.2,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,1,69,0,2,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_3,12-02-20 11:36,12-02-20 11:42,1,0,human,0,5.88,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,51,1,1,den Heijer-Jansen-Verhagen,NA,2.medium
study 1,study1_4,12-02-20 11:54,12-02-20 11:58,0,1,human,0,4.53,2,2.Jansen,8,0,3. Other selection,1,0,9,0,1,0,83,1,5,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_5,12-02-20 11:54,12-02-20 11:58,1,0,algorithm,1,4.85,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,8,0,0,0,21,1,1,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_6,12-02-20 12:23,12-02-20 12:27,0,1,human,0,4.7,2,2.Jansen,6,0,3. Other selection,1,0,6,1,1,1,21,0,3,Jansen-den Heijer-Verhagen,NA,3.low
study 1,study1_7,12-02-20 12:21,12-02-20 12:28,1,0,algorithm,1,7.63,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,61,1,1,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_8,12-02-20 12:47,12-02-20 12:52,1,0,algorithm,1,4.98,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,0,60,1,1,Jansen-den Heijer-Verhagen,0,1.high
study 1,study1_9,12-02-20 12:48,12-02-20 12:54,1,0,algorithm,1,5.95,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,7,0,0,1,36,1,3,Jansen-Verhagen-den Heijer,0,3.low
study 1,study1_10,12-02-20 12:40,12-02-20 12:57,1,0,algorithm,1,16.53,3,3.den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,22,1,1,Jansen-Verhagen-den Heijer,0,3.low
study 1,study1_11,12-02-20 12:23,12-02-20 13:04,1,0,human,0,41.1,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,0,0,60,0,2,den Heijer-Jansen-Verhagen,NA,1.high
study 1,study1_12,12-02-20 12:58,12-02-20 13:05,0,1,algorithm,1,7.72,2,2.Jansen,4,1,1. Select teacher with lowest ILE score,1,0,7,0,1,0,35,1,4,Verhagen-Jansen-den Heijer,0,1.high
study 1,study1_13,12-02-20 13:19,12-02-20 13:28,1,0,human,0,9.07,1,1.Verhagen,8,0,3. Other selection,0,1,0,0,1,1,63,NA,1,Verhagen-Jansen-den Heijer,NA,1.high
study 1,study1_14,12-02-20 13:38,12-02-20 13:41,1,0,human,0,3.55,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,29,1,5,Verhagen-Jansen-den Heijer,NA,2.medium
study 1,study1_15,12-02-20 13:38,12-02-20 13:44,1,0,human,0,6.35,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,1,26,0,2,Jansen-Verhagen-den Heijer,NA,2.medium
study 1,study1_16,12-02-20 13:38,12-02-20 13:45,1,0,algorithm,1,6.7,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,8,0,0,1,29,1,3,Verhagen-Jansen-den Heijer,0,3.low
study 1,study1_17,12-02-20 13:35,12-02-20 13:46,1,0,algorithm,1,11.3,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,25,1,2,Verhagen-Jansen-den Heijer,0,2.medium
study 1,study1_18,12-02-20 13:32,12-02-20 13:46,1,0,human,0,14.25,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,53,0,5,Jansen-den Heijer-Verhagen,NA,2.medium
study 1,study1_19,12-02-20 13:58,12-02-20 14:05,0,1,human,0,6.87,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,1,7,0,0,0,22,1,3,Jansen-Verhagen-den Heijer,NA,3.low
study 1,study1_20,12-02-20 15:02,12-02-20 15:04,1,1,human,0,1.88,1,1.Verhagen,4,1,1. Select teacher with lowest ILE score,0,0,4,1,0,1,63,0,4,den Heijer-Jansen-Verhagen,NA,3.low
study 1,study1_21,12-02-20 15:15,12-02-20 15:23,1,0,algorithm,1,7.88,3,3.den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,18,0,1,den Heijer-Jansen-Verhagen,0,1.high
