study,participant.id,start.date,end.date,IMC,excluded,excluded.selective,advice,advice.algorithm,moroccan.teacher.cond,moroccan.teacher.cond.lab,moroccan.teacher.cond.bi,moroccan.teacher.cond.bi.lab,timer.minutes,decision,decision.lab,score.teacher.selected,follow.advice,decision.comb,man.check.advice,man.check.evaluation,score.teacher.selected.guess,man.check.score.exact,man.check.score,female,age,high.education,income,familiarity.algorithms.gov,congruence.lab
study 2,study2_1,3/23/2020 11:49,3/23/2020 11:51,0,1,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,2.13,2,F. El Amrani,4,1,1. Select teacher with lowest ILE score,0,0,7,0,0,1,28,0,4,0,1.high
study 2,study2_2,3/23/2020 11:42,3/23/2020 11:51,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9.1,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,76,0,1,0,2.low
study 2,study2_3,3/23/2020 12:00,3/23/2020 12:10,1,0,1,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,9.35,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,0,83,1,4,NA,1.high
study 2,study2_4,3/23/2020 12:00,3/23/2020 12:10,1,0,0,human,0,0,0 none,0,Dutch teacher,9.82,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,0,72,0,3,NA,2.low
study 2,study2_5,3/23/2020 12:25,3/23/2020 12:35,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9.62,2,M.S. Jansen,6,0,3. Other selection,0,1,6,1,1,1,36,0,2,0,2.low
study 2,study2_6,3/23/2020 13:02,3/23/2020 13:09,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,7.37,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,73,0,4,NA,1.high
study 2,study2_7,3/23/2020 14:19,3/23/2020 14:23,0,1,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,3.77,2,M.S. Jansen,6,0,3. Other selection,0,0,3,0,0,1,40,0,2,0,2.low
study 2,study2_8,3/23/2020 14:19,3/23/2020 14:25,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,6,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,1,19,1,1,0,1.high
study 2,study2_9,3/23/2020 14:19,3/23/2020 14:29,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,9.55,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,1,67,0,1,0,2.low
study 2,study2_10,3/23/2020 15:16,3/23/2020 15:22,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,6.15,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,0,0,33,0,2,0,1.high
study 2,study2_11,3/23/2020 15:50,3/23/2020 16:06,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,15.78,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,0,45,0,2,0,2.low
study 2,study2_12,3/23/2020 16:04,3/23/2020 16:11,1,0,0,human,0,0,0 none,0,Dutch teacher,6.7,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,6,0,0,0,49,1,5,NA,2.low
study 2,study2_13,3/23/2020 16:29,3/23/2020 16:33,0,1,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,4.03,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,44,0,3,NA,2.low
study 2,study2_14,3/23/2020 16:37,3/23/2020 16:46,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,9.72,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,30,1,2,0,1.high
study 2,study2_15,3/23/2020 17:02,3/23/2020 17:07,0,1,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,4.77,2,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,7,0,0,0,25,1,3,1,1.high
study 2,study2_16,3/23/2020 17:17,3/23/2020 17:25,1,0,0,human,0,0,0 none,0,Dutch teacher,7.92,2,M.S. Jansen,6,0,3. Other selection,1,1,6,1,1,1,24,1,1,NA,2.low
study 2,study2_17,3/23/2020 17:07,3/23/2020 17:28,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,20.82,2,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,38,1,5,0,1.high
study 2,study2_18,3/23/2020 17:17,3/23/2020 17:29,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,11.67,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,25,1,3,1,1.high
study 2,study2_19,3/24/2020 9:29,3/24/2020 9:36,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,6.93,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,22,1,3,NA,1.high
study 2,study2_20,3/24/2020 9:32,3/24/2020 9:38,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,6.5,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,22,1,1,0,2.low
study 2,study2_21,3/24/2020 9:34,3/24/2020 9:42,1,0,1,human,0,0,0 none,0,Dutch teacher,7.55,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,55,0,2,NA,2.low
study 2,study2_22,3/24/2020 9:38,3/24/2020 9:43,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,4.82,1,A. Verhagen,8,0,3. Other selection,0,0,7,0,0,1,41,0,4,0,1.high
study 2,study2_23,3/24/2020 9:42,3/24/2020 9:46,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,3.97,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,0,1,18,0,1,0,2.low
study 2,study2_24,3/24/2020 9:39,3/24/2020 9:47,1,0,0,human,0,0,0 none,0,Dutch teacher,8.63,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,0,0,0,0,62,0,3,NA,1.high
study 2,study2_25,3/24/2020 9:47,3/24/2020 9:51,1,0,0,human,0,0,0 none,0,Dutch teacher,3.97,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,1,27,0,4,NA,1.high
study 2,study2_26,3/24/2020 9:49,3/24/2020 9:54,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,5.05,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,0,6,1,1,0,29,1,1,NA,1.high
study 2,study2_27,3/24/2020 9:42,3/24/2020 9:55,1,0,0,human,0,0,0 none,0,Dutch teacher,13.38,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,62,0,1,NA,1.high
study 2,study2_28,3/24/2020 9:49,3/24/2020 10:07,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,18.25,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,1,1,26,0,2,NA,2.low
study 2,study2_29,3/24/2020 10:36,3/24/2020 10:44,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,8.32,2,M.S. Jansen,6,0,3. Other selection,0,0,6,1,0,1,33,1,2,0,2.low
study 2,study2_30,3/24/2020 10:42,3/24/2020 10:45,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,3.5,2,M.S. Jansen,6,0,3. Other selection,1,0,6,1,0,0,49,0,3,0,2.low
study 2,study2_31,3/24/2020 10:44,3/24/2020 10:52,1,0,0,human,0,0,0 none,0,Dutch teacher,8.2,1,A. Verhagen,8,0,3. Other selection,1,1,8,1,1,0,56,0,4,NA,1.high
study 2,study2_32,3/24/2020 10:50,3/24/2020 11:02,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,11.98,2,M.S. Jansen,6,0,3. Other selection,1,0,6,1,0,0,30,1,4,NA,2.low
study 2,study2_33,3/24/2020 10:43,3/24/2020 11:04,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,21.5,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,0,1,64,0,3,0,1.high
study 2,study2_34,3/24/2020 10:59,3/24/2020 11:12,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,12.47,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,0,60,NA,1,NA,1.high
study 2,study2_35,3/24/2020 11:14,3/24/2020 11:31,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,16.42,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,20,1,1,NA,1.high
study 2,study2_36,3/24/2020 10:44,3/24/2020 11:32,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,48.23,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,4,0,0,0,48,1,5,NA,2.low
study 2,study2_37,3/24/2020 11:44,3/24/2020 12:09,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,25.57,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,0,4,1,1,0,44,1,5,0,1.high
study 2,study2_38,3/24/2020 12:00,3/24/2020 12:18,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,17.43,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,3,0,0,0,73,1,4,1,1.high
study 2,study2_39,3/24/2020 12:00,3/24/2020 12:19,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,18.83,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,61,1,2,NA,1.high
study 2,study2_40,3/24/2020 12:16,3/24/2020 12:20,1,0,0,human,0,0,0 none,0,Dutch teacher,3.38,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,20,0,3,NA,2.low
study 2,study2_41,3/24/2020 12:16,3/24/2020 12:35,1,0,1,human,0,0,0 none,0,Dutch teacher,18.88,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,0,30,0,3,NA,1.high
study 2,study2_42,3/24/2020 12:35,3/24/2020 12:39,1,0,0,human,0,0,0 none,0,Dutch teacher,4.65,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,34,0,1,NA,1.high
study 2,study2_43,3/24/2020 12:48,3/24/2020 12:53,1,0,0,human,0,0,0 none,0,Dutch teacher,5.3,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,8,1,1,1,25,1,3,NA,2.low
study 2,study2_44,3/24/2020 13:21,3/24/2020 13:24,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,3.1,1,A. Verhagen,8,0,3. Other selection,0,1,8,1,1,1,40,0,3,0,1.high
study 2,study2_45,3/24/2020 13:31,3/24/2020 13:40,1,0,0,human,0,0,0 none,0,Dutch teacher,9.52,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,56,1,5,NA,1.high
study 2,study2_46,3/24/2020 13:37,3/24/2020 13:43,1,0,0,human,0,0,0 none,0,Dutch teacher,5.32,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,0,1,66,0,3,NA,1.high
study 2,study2_47,3/24/2020 13:36,3/24/2020 13:44,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,8.2,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,0,1,22,1,3,1,2.low
study 2,study2_48,3/24/2020 13:34,3/24/2020 13:44,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,10.72,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,5,0,0,0,74,1,3,0,2.low
study 2,study2_49,3/24/2020 13:50,3/24/2020 13:54,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,3.37,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,0,0,6,0,0,1,29,1,4,0,1.high
study 2,study2_50,3/24/2020 13:49,3/24/2020 13:54,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,5.57,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,20,0,1,0,1.high
study 2,study2_51,3/24/2020 13:50,3/24/2020 13:56,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,5.73,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,21,1,2,NA,1.high
study 2,study2_52,3/24/2020 13:50,3/24/2020 13:58,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,7.93,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,1,22,1,4,0,2.low
study 2,study2_53,3/24/2020 13:50,3/24/2020 14:02,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,11.25,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,0,70,1,3,0,1.high
study 2,study2_54,3/24/2020 13:50,3/24/2020 14:02,0,1,1,algorithm,1,0,0 none,0,Dutch teacher,11.83,1,A. Verhagen,8,0,3. Other selection,0,1,6,0,1,0,53,0,1,0,1.high
study 2,study2_55,3/24/2020 14:10,3/24/2020 14:16,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,5.75,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,4,0,0,0,22,0,5,0,2.low
study 2,study2_56,3/24/2020 14:11,3/24/2020 14:16,1,0,0,human,0,0,0 none,0,Dutch teacher,5.07,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,48,1,2,NA,1.high
study 2,study2_57,3/24/2020 14:15,3/24/2020 14:18,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,2.98,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,0,9,0,1,1,28,1,3,0,1.high
study 2,study2_58,3/24/2020 14:14,3/24/2020 14:18,0,1,0,human,0,0,0 none,0,Dutch teacher,3.48,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,36,1,4,NA,2.low
study 2,study2_59,3/24/2020 14:13,3/24/2020 14:19,1,0,1,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,5.82,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,20,0,2,NA,1.high
study 2,study2_60,3/24/2020 14:13,3/24/2020 14:19,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,5.87,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,24,1,2,NA,1.high
study 2,study2_61,3/24/2020 14:17,3/24/2020 14:19,0,1,0,human,0,0,0 none,0,Dutch teacher,2.15,2,M.S. Jansen,6,0,3. Other selection,1,0,9,0,0,1,25,1,3,NA,2.low
study 2,study2_62,3/24/2020 14:13,3/24/2020 14:20,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,6.87,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,6,0,0,0,61,0,4,0,2.low
study 2,study2_63,3/24/2020 14:20,3/24/2020 14:23,0,1,0,human,0,0,0 none,0,Dutch teacher,3.47,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,4,0,0,1,21,1,3,NA,1.high
study 2,study2_64,3/24/2020 14:21,3/24/2020 14:25,0,1,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,4.25,2,M.S. Jansen,6,0,3. Other selection,0,1,6,1,1,0,60,1,3,NA,2.low
study 2,study2_65,3/24/2020 14:21,3/24/2020 14:25,0,1,1,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,4.05,2,M.S. Jansen,6,0,3. Other selection,0,0,5,0,1,0,37,0,3,NA,2.low
study 2,study2_66,3/24/2020 14:21,3/24/2020 14:26,0,1,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,4.97,1,A. Verhagen,8,0,3. Other selection,0,0,7,0,1,0,35,1,5,NA,1.high
study 2,study2_67,3/24/2020 14:16,3/24/2020 14:26,1,0,1,algorithm,1,0,0 none,0,Dutch teacher,10.23,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,6,0,0,0,72,0,5,0,2.low
study 2,study2_68,3/24/2020 14:23,3/24/2020 14:33,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,9.4,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,0,59,0,2,0,1.high
study 2,study2_69,3/24/2020 14:19,3/24/2020 14:37,1,0,1,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,18.22,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,1,61,1,5,1,1.high
study 2,study2_70,3/24/2020 15:05,3/24/2020 15:09,1,0,0,human,0,0,0 none,0,Dutch teacher,4.55,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,6,1,1,1,23,1,1,NA,1.high
study 2,study2_71,3/24/2020 15:02,3/24/2020 15:09,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,6.8,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,0,1,7,0,0,0,25,1,4,0,1.high
study 2,study2_72,3/24/2020 15:02,3/24/2020 15:12,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,10.07,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,19,1,1,1,2.low
study 2,study2_73,3/24/2020 15:05,3/24/2020 15:14,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,8.93,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,27,0,1,0,1.high
study 2,study2_74,3/24/2020 16:02,3/24/2020 16:06,0,1,0,algorithm,1,0,0 none,0,Dutch teacher,4.67,2,M.S. Jansen,4,1,1. Select teacher with lowest ILE score,1,1,6,0,0,1,71,1,2,0,1.high
study 2,study2_75,3/24/2020 16:38,3/24/2020 16:41,0,1,1,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,3.02,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,0,1,10,0,0,1,38,0,3,0,2.low
study 2,study2_76,3/24/2020 16:44,3/24/2020 16:50,1,0,0,human,0,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,6.22,2,F. El Amrani,4,1,1. Select teacher with lowest ILE score,0,0,4,1,1,1,38,0,4,NA,1.high
study 2,study2_77,3/24/2020 16:54,3/24/2020 17:06,1,0,0,algorithm,1,2,2 teacher 2_moroccan,1,Moroccan-Dutch teacher,12.27,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,1,6,1,1,1,31,0,3,0,1.high
study 2,study2_78,3/24/2020 16:04,3/24/2020 17:09,1,0,0,algorithm,1,0,0 none,0,Dutch teacher,64.68,3,F.E. den Heijer,6,0,2. Select teacher with poorest qualitative evaluation,1,0,6,1,1,0,58,0,4,0,1.high
study 2,study2_79,3/24/2020 17:40,3/24/2020 17:46,0,1,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,5.4,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,39,1,3,0,2.low
study 2,study2_80,3/24/2020 18:12,3/24/2020 18:17,1,0,0,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,4.93,1,F. El Amrani,4,1,1. Select teacher with lowest ILE score,1,0,6,0,1,0,75,1,5,1,2.low
study 2,study2_81,3/24/2020 18:26,3/24/2020 18:34,1,0,0,human,0,0,0 none,0,Dutch teacher,8.48,2,M.S. Jansen,6,0,3. Other selection,0,1,0,0,0,0,75,NA,1,NA,2.low
study 2,study2_82,3/24/2020 18:27,3/24/2020 18:37,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,10.75,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,1,18,0,3,NA,2.low
study 2,study2_83,3/24/2020 19:04,3/24/2020 19:13,1,0,0,human,0,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,8.45,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,0,8,1,0,1,68,0,3,NA,2.low
study 2,study2_84,3/24/2020 19:04,3/24/2020 19:15,1,0,1,algorithm,1,1,1 teacher 1_moroccan,1,Moroccan-Dutch teacher,10.48,3,F.E. den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,33,1,4,0,2.low
