study,participant.id,start.date,end.date,excluded.selective,advice,advice.algorithm,moroccan.teacher.cond,moroccan.teacher.cond.lab,moroccan.teacher.cond.bi,moroccan.teacher.cond.bi.lab,timer.minutes,decision,decision.lab,score.teacher.selected,follow.advice,decision.comb,man.check.advice,man.check.evaluation,score.teacher.selected.guess,man.check.score.exact,man.check.score,female,age,high.education,familiarity.algorithms.gov
study 3,study3_1,2/2/2021 13:20,2/8/2021 15:46,0,human,0,0,0 none,0,Dutch teacher,8786,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,4,0,0,0,54,0,0
study 3,study3_2,2/2/2021 13:21,2/2/2021 13:29,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,49,1,0
study 3,study3_3,2/2/2021 13:21,2/2/2021 13:41,1,human,0,0,0 none,0,Dutch teacher,20,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,64,0,1
study 3,study3_4,2/2/2021 13:22,2/15/2021 11:01,0,human,0,0,0 none,0,Dutch teacher,18579,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,0,4,0,0,0,48,1,0
study 3,study3_5,2/2/2021 13:23,2/2/2021 13:58,0,human,0,0,0 none,0,Dutch teacher,36,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,40,1,0
study 3,study3_6,2/2/2021 13:24,2/2/2021 13:52,0,human,0,0,0 none,0,Dutch teacher,28,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,49,1,1
study 3,study3_7,2/2/2021 13:24,2/2/2021 13:31,0,human,0,0,0 none,0,Dutch teacher,7,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,0,1,8,1,1,0,49,1,1
study 3,study3_8,2/2/2021 13:26,2/2/2021 13:34,0,human,0,0,0 none,0,Dutch teacher,8,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,60,0,1
study 3,study3_9,2/2/2021 13:26,2/2/2021 13:36,0,human,0,0,0 none,0,Dutch teacher,10,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,53,1,0
study 3,study3_10,2/2/2021 13:26,2/2/2021 16:52,0,human,0,0,0 none,0,Dutch teacher,205,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,55,1,1
study 3,study3_11,2/2/2021 13:27,2/2/2021 13:37,0,human,0,0,0 none,0,Dutch teacher,11,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,0,53,1,0
study 3,study3_12,2/2/2021 13:27,2/2/2021 13:39,0,human,0,0,0 none,0,Dutch teacher,13,3,3. Den Heijer,8,0,2. Select teacher with poorest qualitative evaluation,1,1,8,1,1,1,63,0,1
study 3,study3_13,2/2/2021 13:27,2/2/2021 13:46,0,human,0,0,0 none,0,Dutch teacher,19,2,2. Jansen,6,0,3. Other selection,1,1,6,1,1,0,54,1,0
study 3,study3_14,2/2/2021 13:27,2/2/2021 13:39,0,human,0,0,0 none,0,Dutch teacher,12,1,1. Verhagen,4,1,1. Select teacher with lowest ILE score,1,1,4,1,1,0,65,1,0
